Position,Cosine Similarity,Weighted Distance
dancer1.jpg,0.2094042449442194,0.4816792993641138
dancer3.jpg,0.07615675037122793,0.23291390721103225
dancer4.jpg,0.04013901134931619,0.19144884207375631
kidst1.jpg,-2.220446049250313e-16,0.0
manst1.jpg,0.012913839687603734,0.11706409449068161
med1.jpg,0.08991677556422428,0.46398756057431884
med2.png,0.12847863010739902,0.43539864769106307
nadal1.jpg,0.08668558506043766,0.3668335882643224
nadal2.jpg,0.1540872950679516,0.5060828702964496
neymar1.jpg,0.03829708275945776,0.20252967895366786
neymar2.jfif,0.10276390673533364,0.37800852015249137
pitching1.jpg,0.06616828292655208,0.27844711264798006
pitching2.jpg,0.07873106499425064,0.2833956045226974
ronaldo1.jpg,0.05653749218666071,0.23148194811826214
ronaldo2.jpg,0.06923324188057034,0.3127915534081424
running1.jpg,0.15292913735684244,0.5207636500944148
running2.jpg,0.0626394816599215,0.3010534665983337
usb1.jpg,0.1041321650990914,0.32710866600880195
usb2.jpg,0.0831448224924407,0.4047978263705172
